Filename,ImageRef,Caption,Tags,License type,Username,Super Tags,Location,Date taken,Number of People,Model release,Is there property in this image?,Property release,Primary category,Secondary category,Image Type,Exclusive to Alamy,Additional Info,Status
"dsc_199968-dsc_199976.jpg","P74F94","Grand residence on the Kasernenstrasse, Chur, Grisons","Schweiz,Graubuenden,Graubünden,mountains,switzerland,swiss,town,rhine,valley,building,Spring,Kasernenstrasse,House,Building,Grand,Ornate,Wealth,Home,Residence","RF","Elliott Bignell","Chur","Kasernenstrasse, Chur, Switzerland","","0","NA","N","NA","Architecture and interiors","Landscapes","Photograph","N","","On sale"
"dsc_199950-dsc_199958.jpg","P74F92","Buildings in the Old Town part of Chur, Graubünden","Chur,Graubünden,Schweiz,Switzerland,Swiss,Street,Old,Town,Urban,Mountains,Alps,Graubuenden,Old town,Picturesque,Quaint,Germanic,Mediaeval,Grisons","RF","Elliott Bignell","","Chur","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_199920-dsc_199943.jpg","P74F90","Buildings in the Old Town part of Chur, Graubünden","Chur,Graubünden,Schweiz,Switzerland,Swiss,Street,Old,Town,Urban,Mountains,Alps,Graubuenden,Old town,Picturesque,Quaint,Germanic,Mediaeval,Grisons","RF","Elliott Bignell","","Chur","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_199914-dsc_199919.jpg","P74F8X","Buildings in the Old Town part of Chur, Graubünden","Schweiz,Chur,Graubünden,Switzerland,Swiss,Street,Old,Town,Urban,Mountains,Alps,Graubuenden,Old town,Picturesque,Quaint,Germanic,Mediaeval,Grisons","RF","Elliott Bignell","","Chur","10/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_199944-dsc_199949.jpg","P74F91","Buildings in the Old Town part of Chur, Graubünden","Schweiz,Chur,Graubünden,Switzerland,Swiss,Street,Old,Town,Urban,Mountains,Alps,Graubuenden,Old town,Picturesque,Quaint,Germanic,Mediaeval,Grisons","RF","Elliott Bignell","","Chur","10/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_199902-dsc_199913.jpg","P74F8W","Buildings in the Old Town part of Chur, Graubünden","Schweiz,Chur,Graubünden,Switzerland,Swiss,Street,Old,Town,Urban,Mountains,Alps,Graubuenden,Old town,Picturesque,Quaint,Germanic,Mediaeval,Grisons","RF","Elliott Bignell","","Chur","10/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"VeronaStripyBuilding.jpg","P752T0","Colourful stripes of building in Verona, the Veneto","Italy,Veneto,Italian,Verona,Town,City,Shakespeare,Stripes,Italianate,Church,Tower,Campanile,Piazza,Red,Cream,Colourful","RF","Elliott Bignell","","Verona","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"VeronaFromArena.jpg","P752RX","Rooves of Verona shot from the Roman ampitheatre","Italy,Veneto,Verona,City,Town,Italian,Shakespeare,Rooves,Street,Houses,Buildings,Historic,Old,Stone,Plaster","RF","Elliott Bignell","","Verona","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"VeronaStreet.jpg","P752RY","Street in Verone, the Veneto","Italy,Veneto,Italian,Verona,Town,City,Shakespeare,Street,Arches,Shutters,Venetian,Neglect,Mediterranean,Old,Ancient,Plaster,Ochre,Urban","RF","Elliott Bignell","","Verona","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"VeronaBuildingWithColumns.jpg","P752RW","Quiet corner of Verona and the Shakespeare eatery","Italy,Veneto,Italian,Verona,Town,City,Shakespeare,Restaurant,Bar,Catering,Architecture,Piazza,Secluded,Quiet","RF","Elliott Bignell","","Verona","","MORE","NA","Y","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"VeronaAcrossRiver3.jpg","P752RT","Verona shot across river in Autumn","Italy,Veneto,Verona,River,Hill,Cypresses,Front,Houses,Town,Italian,Old,Water,Historic,Tourism,Sunshine,Autumn","RF","Elliott Bignell","","Verona, VR, Italy","","0","NA","N","NA","Travel","Weather and seasons","Photograph","N","","On sale"
"PiazzaErbeMercator.jpg","P752R9","The Piazza Erbe, main square in Verona","Italy,Veneto,Verone,Piazza,Erbe,Italian,Mediterranean,Shakespeare,Square,Inheritance,Italianate,Renaissance,Architecture,Town,City,Rural,Old,Stone,Historic","RF","Elliott Bignell","","Piazza Erbe, Verona, VR, Italy","","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"VeronaAcrossRiver.jpg","P752RP","Verona shot across river in Autumn","Italy,Veneto,Verona,River,Hill,Cypresses,Front,Houses,Town,Italian,Old,Water,Historic,Tourism,Sunshine,Autumn","RF","Elliott Bignell","","Verona, VR, Italy","","0","NA","N","NA","Travel","Weather and seasons","Photograph","N","","On sale"
